"Street name",Locality,"Treatment Priority Category","Treatment Priority 1 Route Reference(s)","Treatment Local Priority Route Reference(s)"
"Kirk Brae",Liberton,1,"P003 - Liberton",
Kirkgate,"North Leith",Local,,CityCentre_P04
Kirkgate,Liberton,1,"P003 - Liberton",
"Kirkliston Road","South Queensferry",Local,,West_P06
"Lady Road",Mayfield,1,"P003 - Liberton",
Ladycroft,Balerno,1,"P007 - Balerno",
"Ladywell Avenue",Broomhall,Local,,West_P03
"Ladywell Road",Broomhall,Local,,West_P03
"Lampacre Road","Carrick Knowe",Local,,West_P03
"Lanark Road",,"1 and Local","P008 - Currie","SouthWest_P03, SouthWest_P04"
"Lanark Road West",Curriehill,1,"P007 - Balerno, P008 - Currie",
"Lasswade Road","Hyvots Bank",1,"P003 - Liberton, P004 - Inch_Moredun",
"Lauderdale Street",Bruntsfield,Local,,South_P02
"Laurel Terrace",Polwarth,Local,,SouthWest_P04
"Laurie Street","South Leith",Local,,CityCentre_P03
"Lauriston Gardens",Newington,Local,,South_P02
"Lauriston Place",Southside,1,CityCentre_P02,
"Laverockdale Crescent",Colinton,1,"P009 - Colinton",
Lawnmarket,"Old Town",1,CityCentre_P02,
"Leamington Terrace",Bruntsfield,Local,,South_P02
"Leamington Walk",Bruntsfield,1,"South_P01 - Meadows",
"Leith Street","New Town",Local,,CityCentre_P04
"Leith Walk",Albion,Local,,CityCentre_P04
"Lennox Row",Trinity,Local,,North_P03
"Leopold Place",Broughton,Local,,CityCentre_P03
"Leslie Place",Stockbridge,Local,,North_P04
"Leven Street",Newington,Local,,South_P02
"Liberton Brae",Alnwickhill,1,"P003 - Liberton",
"Liberton Dams",Mayfield,1,"P004 - Inch_Moredun",
"Liberton Gardens",Alnwickhill,1,"P003 - Liberton",
"Liberton Road",Mayfield,"1 and Local","P004 - Inch_Moredun",South_P03
"Lilyhill Terrace",Willowbrae,Local,,East_P01
"Links Gardens","South Leith",Local,,CityCentre_P03
"Livingstone Place",Bruntsfield,Local,,South_P03
"Loaning Road",Restalrig,Local,,East_P01
"Loch Road","South Queensferry",Local,,West_P06
"Lochend Road",Lochend,Local,,CityCentre_P03
"Lochend Road South",Meadowbank,Local,,"CityCentre_P03, East_P01"
"Loganlea Drive",Restalrig,Local,,East_P01
"Loganlea Gardens",Restalrig,Local,,East_P01
"London Road",,Local,,"CityCentre_P03, East_P01"
"Longstone Grove",Kingsknowe,Local,,SouthWest_P03
"Longstone Road",Kingsknowe,Local,,SouthWest_P03
"Lonsdale Terrace",Newington,Local,,South_P02
"Lorne Street",Albion,Local,,CityCentre_P03
"Lothian Road","Old Town",1,CityCentre_P02,
"Lower Granton Road",Trinity,Local,,North_P03
"Magdalene Drive",Magdalene,Local,,East_P02
"Magdalene Gardens",Magdalene,Local,,East_P02
"Main Street",Dalmeny,Local,,West_P06
"Main Street",Balerno,1,"P007 - Balerno",
