acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported
383312,,Slight,2,1,12/07/2012,Thursday,12,July,12,15,35,230,A,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327220,668350,570773,Segment,T.V.N.P.,365795,unset,EH166TX,Control by other authorised person,Central refuge - no other controls,Elsewhere
383412,,Slight,1,1,11/07/2012,Wednesday,11,July,12,22,20,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,Pedestrian in carriagway - not injured,No overtaking,320610,670400,0,Unset,Bus,365796,unset,EH142AB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
383712,,Slight,2,1,13/07/2012,Friday,13,July,12,15,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325530,674890,520230,Junction,Cyclist,365797,unset,EH36NG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
384012,,Slight,2,1,13/07/2012,Friday,13,July,12,15,13,230,Motorway,9,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,313090,675680,0,Unset,T.V.N.P.,365798,unset,EH299EQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
385812,,Slight,2,1,14/07/2012,Saturday,14,July,12,15,10,230,A,901,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,900,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326960,675900,522483,Junction,T.V.N.P.,365799,unset,EH68LN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
386012,,Slight,2,2,09/07/2012,Monday,9,July,12,16,55,230,A,71,Dual carriageway - 2 lanes,40,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317970,670200,2307101,Junction,T.V.N.P.,365800,unset,EH144AW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
386812,,Slight,2,1,15/07/2012,Sunday,15,July,12,16,22,230,A,1,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,330050,672790,2106403,Segment,T.V.N.P.,365801,unset,EH151LE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
387912,,Slight,2,1,16/07/2012,Monday,16,July,12,7,20,230,A,902,Single carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,A,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318060,672760,12201733,Junction,Cyclist,365802,unset,EH128LS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
389512,,Slight,2,1,09/07/2012,Monday,9,July,12,14,40,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Unknown,Dry,None,None,No overtaking,326150,673060,569460,Segment,Cyclist,365803,unset,EH89EW,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
390612,,Slight,1,1,16/07/2012,Monday,16,July,12,16,40,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323930,676660,0,Unset,Bus,365804,unset,EH51AS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
391412,,Slight,2,3,17/07/2012,Tuesday,17,July,12,18,45,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326370,673760,558221,Segment,T.V.N.P.,365805,unset,EH88BN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
392012,,Slight,3,1,15/07/2012,Sunday,15,July,12,22,0,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324320,670310,530008,Junction,M.V.N.P.,365806,unset,EH106ER,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
392312,,Slight,2,1,17/07/2012,Tuesday,17,July,12,14,35,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326100,674830,0,Unset,T.V.N.P.,365807,unset,EH74AZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
392512,,Serious,2,1,17/07/2012,Tuesday,17,July,12,22,45,230,Unclassified,,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Other,Dry,None,None,No overtaking,325700,674520,0,Unset,T.V.N.P.,365808,unset,EH36NX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
393112,,Slight,2,1,18/07/2012,Wednesday,18,July,12,14,50,230,A,902,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,322330,674920,563703,Segment,T.V.N.P.,365809,unset,EH42SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
393212,,Slight,1,1,18/07/2012,Wednesday,18,July,12,17,25,230,C,,One way Street,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325720,673240,521526,Junction,Bus,365810,unset,EH12QN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
393412,,Serious,2,2,18/07/2012,Wednesday,18,July,12,17,0,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,322720,674290,520413,Junction,T.V.N.P.,365811,unset,EH42EZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
393512,,Slight,2,1,13/07/2012,Friday,13,July,12,20,5,230,Unclassified,,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323310,676530,522858,Junction,Cyclist,365812,unset,EH52HQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
393612,,Slight,1,1,18/07/2012,Wednesday,18,July,12,16,20,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,320690,676190,519094,Junction,Bus,365813,unset,EH45HA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
394112,,Slight,1,1,21/06/2012,Thursday,21,June,12,17,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318760,668470,0,Unset,Pedestrian,355018,unset,EH145HE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
394512,,Slight,2,1,19/07/2012,Thursday,19,July,12,8,0,230,A,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326800,675580,519481,Junction,Cyclist,365814,unset,EH68NR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
394612,,Slight,2,1,19/07/2012,Thursday,19,July,12,11,50,230,A,6106,Single carriageway - 2 lanes,30,Crossroads,Authorised Person,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,330490,671780,530032,Junction,T.V.N.P.,365815,unset,EH153EJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
394712,,Slight,1,1,13/07/2012,Friday,13,July,12,17,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321600,675650,0,Unset,Pedestrian,365816,unset,EH44QX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
395312,,Slight,2,1,19/07/2012,Thursday,19,July,12,14,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312970,677820,4422029,Segment,T.V.N.P.,365817,unset,EH309NZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
396512,,Slight,2,1,19/07/2012,Thursday,19,July,12,9,55,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,B,701,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328290,668460,530308,Junction,Cyclist,365818,unset,EH166QT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
397312,,Slight,2,1,19/07/2012,Thursday,19,July,12,17,20,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325980,671020,533401,Junction,Cyclist,365819,unset,EH93HN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
397712,,Slight,1,1,20/07/2012,Friday,20,July,12,18,51,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Stop sign,C,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326270,673740,521163,Junction,Pedestrian,365820,unset,EH88BJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
398112,,Slight,1,1,21/07/2012,Saturday,21,July,12,11,5,230,A,71,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322950,672260,521961,Junction,Bus,365821,unset,EH111TU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
398412,,Slight,2,1,21/07/2012,Saturday,21,July,12,9,20,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324600,668310,533134,Junction,Cyclist,365822,unset,EH107BE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
398712,,Serious,1,1,17/07/2012,Tuesday,17,July,12,8,45,230,A,90,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324590,673720,520959,Junction,Pedestrian,365823,unset,EH24PG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
400412,,Slight,3,4,23/07/2012,Monday,23,July,12,9,41,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,323040,669170,532963,Junction,M.V.N.P.,365824,unset,EH139BJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
400612,,Slight,2,2,23/07/2012,Monday,23,July,12,11,40,230,A,199,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,329500,675190,523269,Junction,T.V.N.P.,365825,unset,EH151TB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
400812,,Slight,2,1,23/07/2012,Monday,23,July,12,10,20,230,A,71,Dual carriageway - 2 lanes,60,Roundabout,Give way sign or markings,C,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,320680,671100,529513,Junction,T.V.N.P.,365826,unset,EH113RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
402912,,Serious,2,1,23/07/2012,Monday,23,July,12,14,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,312020,672570,0,Unset,T.V.N.P.,365827,unset,EH288SU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
403112,,Slight,2,1,23/07/2012,Monday,23,July,12,12,10,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,326360,674860,520263,Junction,T.V.N.P.,365828,unset,EH74AG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
403512,,Slight,1,1,24/07/2012,Tuesday,24,July,12,11,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324660,673610,0,Unset,Pedestrian,365829,unset,EH12AE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
403712,,Slight,1,1,21/07/2012,Saturday,21,July,12,20,55,230,A,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Unknown,Dry,None,None,No overtaking,326540,675110,519867,Junction,Pedestrian,365830,unset,EH74PE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
403912,,Slight,2,1,24/07/2012,Tuesday,24,July,12,14,20,230,A,701,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327190,670960,523071,Junction,T.V.N.P.,365831,unset,EH165PB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
404012,,Slight,1,1,23/07/2012,Monday,23,July,12,22,58,230,A,900,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326370,674880,520266,Junction,Pedestrian,365832,unset,EH74AG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
404212,,Serious,1,1,24/07/2012,Tuesday,24,July,12,15,15,230,Motorway,8,Roundabout,50,Roundabout,Automatic Traffic Signal,Motorway,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318110,671030,6452838,Junction,S.V.N.P.,365833,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
405412,,Slight,1,1,25/07/2012,Wednesday,25,July,12,16,15,230,B,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324490,674660,554192,Segment,Bus,365834,unset,EH41HN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
405512,,Slight,2,1,25/07/2012,Wednesday,25,July,12,17,30,230,Unclassified,,One way Street,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324230,673330,521319,Junction,Cyclist,365835,unset,EH38JQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
405612,,Slight,2,1,20/07/2012,Friday,20,July,12,5,0,230,A,7,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326030,673310,521586,Junction,T.V.N.P.,365836,unset,EH89DH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
405712,,Slight,2,1,23/07/2012,Monday,23,July,12,17,4,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,322010,675590,519364,Junction,T.V.N.P.,365837,unset,EH44PH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
