acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
47011,1,Bus or coach (17 or more passenger seats),No tow/articulation,Waiting to go ahead but held up,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,33,Driver not contacted at time of accident,,"Non-stop vehicle, not hit",,,unset,Bus lane
47611,1,Car,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,22,Negative,,Other,,,unset,On main carriageway - not in restricted la
47611,2,Car,No tow/articulation,Stopping,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,61,Negative,,Other,,,unset,On main carriageway - not in restricted la
47611,3,Car,No tow/articulation,Stopping,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,34,Negative,,Other,,,unset,On main carriageway - not in restricted la
47611,4,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Stopping,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,3,,0,Male,32,Negative,,Other,,,unset,On main carriageway - not in restricted la
47611,5,Car,No tow/articulation,Stopping,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,4,,0,Female,35,Negative,,Other,,,unset,On main carriageway - not in restricted la
47711,1,Car,No tow/articulation,Starting,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Female,51,Not requested,,Other,,,unset,On main carriageway - not in restricted la
48411,1,Car,No tow/articulation,Starting,73,Did not impact,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Male,37,Negative,,Other,,,unset,On main carriageway - not in restricted la
48411,2,Pedal cycle,No tow/articulation,Going ahead other,51,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,35,Not requested,,Other,,,unset,On main carriageway - not in restricted la
49011,1,Pedal cycle,No tow/articulation,Going ahead other,37,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,0,,0,Male,31,Not requested,,Other,,,unset,On main carriageway - not in restricted la
